input:a:0,input:a:1,input:b:0,input:b:1,input:function2_input:0,output:c:0,output:c:1,output:d:0,output:d:1,output:d:2,output:d:3,output:function2_output:0
22.45548329380081,9.299342031739243,-0.09023991443475948,-0.006371677421186328,36.936119081953436,22.36524337936605,10.292970354318058,22.45548329380081,-0.09023991443475948,9.299342031739243,-0.006371677421186328,73.87223816390687
-27.778328064976655,-10.492905515230632,-0.12868437803521687,-0.4896298656235286,97.88747396316272,-27.907012443011872,-9.982535380854161,-27.778328064976655,-0.12868437803521687,-10.492905515230632,-0.4896298656235286,195.77494792632544
-5.182275081331923,-35.447075990399235,-0.48538843684819893,-0.08332456103404118,11.529697930175974,-5.667663518180122,-34.530400551433274,-5.182275081331923,-0.48538843684819893,-35.447075990399235,-0.08332456103404118,23.059395860351948
5.407919060356392,4.432362440072005,-0.4611451493248082,-0.21102103081349943,5.028776146955449,4.946773911031583,5.221341409258505,5.407919060356392,-0.4611451493248082,4.432362440072005,-0.21102103081349943,10.057552293910899
-39.648701088246916,4.724624954777113,-0.07226617981488126,-0.10390620932016686,68.19250278829585,-39.7209672680618,5.620718745456946,-39.648701088246916,-0.07226617981488126,4.724624954777113,-0.10390620932016686,136.3850055765917
-18.6887379848659,29.848260941016676,-0.13443860164775923,-0.45892090848128675,69.90572914853934,-18.823176586513657,30.38934003253539,-18.6887379848659,-0.13443860164775923,29.848260941016676,-0.45892090848128675,139.81145829707867
41.06796083863344,-34.38133880113856,-0.4770171762900299,-0.06265655271571774,17.08143675086631,40.590943662343406,-33.44399535385428,41.06796083863344,-0.4770171762900299,-34.38133880113856,-0.06265655271571774,34.16287350173262
27.319090339208955,14.19423761791991,-0.38535882189009396,-0.4422483678650802,7.937698007192351,26.93373151731886,14.75198925005483,27.319090339208955,-0.38535882189009396,14.19423761791991,-0.4422483678650802,15.875396014384702
12.188048789348535,-43.14583263909544,-0.011183950166343992,-0.4729407882412729,8.680632710791858,12.17686483918219,-42.61877342733671,12.188048789348535,-0.011183950166343992,-43.14583263909544,-0.4729407882412729,17.361265421583717
-20.878422519767504,-13.163451404030148,-0.0752521336954543,0.054103291581845014,60.29502080680989,-20.953674653462958,-12.109348112448304,-20.878422519767504,-0.0752521336954543,-13.163451404030148,0.054103291581845014,120.59004161361977
-8.78661523947489,-8.033003057587528,-0.4837949448202389,-0.23811094406508337,92.37993117459607,-9.27041018429513,-7.271114001652611,-8.78661523947489,-0.4837949448202389,-8.033003057587528,-0.23811094406508337,184.75986234919213
-0.42540523889910986,41.423201645505486,-0.36893369981643676,-0.44773305115665973,73.24443068805199,-0.7943389387155466,41.975468594348825,-0.42540523889910986,-0.36893369981643676,41.423201645505486,-0.44773305115665973,146.48886137610398
-1.2484167225059721,18.61776682181005,-0.1835806910711258,0.0051761113505716105,1.3354547059216126,-1.4319974135770979,19.622942933160623,-1.2484167225059721,-0.1835806910711258,18.61776682181005,0.0051761113505716105,2.6709094118432253
1.6290794333663285,-1.1385155647077525,-0.38346439910586905,-0.21339174873602618,65.90911373014366,1.2456150342604595,-0.3519073134437787,1.6290794333663285,-0.38346439910586905,-1.1385155647077525,-0.21339174873602618,131.81822746028732
-38.400567435162834,25.307325972272707,-0.3969288946271754,-0.32753044635775674,67.56931721690498,-38.79749632979001,25.979795525914952,-38.400567435162834,-0.3969288946271754,25.307325972272707,-0.32753044635775674,135.13863443380995
6.4697169630023055,5.145465955387252,-0.18467886997511151,-0.210761040016629,45.786987837305716,6.285038093027194,5.934704915370623,6.4697169630023055,-0.18467886997511151,5.145465955387252,-0.210761040016629,91.57397567461143
1.1521442965600457,42.980570662893115,-0.12475942083585184,-0.2620232946170252,18.05270306267348,1.027384875724194,43.71854736827609,1.1521442965600457,-0.12475942083585184,42.980570662893115,-0.2620232946170252,36.10540612534696
-33.53285047365533,-32.62350032099519,0.07810686199148953,-0.12133925302119408,30.007892636212997,-33.454743611663844,-31.744839574016382,-33.53285047365533,0.07810686199148953,-32.62350032099519,-0.12133925302119408,60.015785272425994
-36.279552029823776,37.72822382985419,-0.18048570609647363,-0.43382578680640693,15.41701567965318,-36.46003773592025,38.29439804304778,-36.279552029823776,-0.18048570609647363,37.72822382985419,-0.43382578680640693,30.83403135930636
-42.07511968424495,-21.253274441788193,-0.3348167650419815,-0.39149183946293964,71.53583375641446,-42.40993644928693,-20.644766281251133,-42.07511968424495,-0.3348167650419815,-21.253274441788193,-0.39149183946293964,143.07166751282892
29.867069588335482,-34.87162347932915,-0.172369150227836,-0.21322607640650365,12.815612074260486,29.694700438107645,-34.08484955573566,29.867069588335482,-0.172369150227836,-34.87162347932915,-0.21322607640650365,25.63122414852097
26.127615751850016,42.87158560243705,-0.4660230957261977,-0.056961985932962866,37.611140096604544,25.66159265612382,43.814623616504086,26.127615751850016,-0.4660230957261977,42.87158560243705,-0.056961985932962866,75.22228019320909
-21.378331061041255,1.3127657035926532,-0.4935832905897173,-0.3428128908365117,71.76529223277021,-21.871914351630974,1.9699528127561416,-21.378331061041255,-0.4935832905897173,1.3127657035926532,-0.3428128908365117,143.53058446554041
32.24440208285348,38.06344386493937,-0.12341301718315184,0.07931929875975674,1.9633614380230702,32.12098906567033,39.14276316369913,32.24440208285348,-0.12341301718315184,38.06344386493937,0.07931929875975674,3.9267228760461403
32.99792914516013,26.878041779939977,-0.1369602488768915,-0.14274294086020556,63.52075364577517,32.86096889628324,27.73529883907977,32.99792914516013,-0.1369602488768915,26.878041779939977,-0.14274294086020556,127.04150729155035
4.769613732611866,-11.808193283768212,-0.13121944863433255,-0.28728972604594893,11.899512733501316,4.638394283977533,-11.09548300981416,4.769613732611866,-0.13121944863433255,-11.808193283768212,-0.28728972604594893,23.799025467002632
18.956680773418697,-42.63345720538308,-0.12255012840602514,-0.2790247108187365,44.63118955329838,18.83413064501267,-41.91248191620182,18.956680773418697,-0.12255012840602514,-42.63345720538308,-0.2790247108187365,89.26237910659675
35.105400351740926,-0.5246908001117632,-0.36246808548353804,0.004320679601970245,1.7304830698252394,34.74293226625739,0.4796298794902071,35.105400351740926,-0.36246808548353804,-0.5246908001117632,0.004320679601970245,3.4609661396504787
-41.55898023345206,-11.463443985932173,0.01605918099397885,-0.40901382639458217,99.88367237286208,-41.542921052458084,-10.872457812326756,-41.55898023345206,0.01605918099397885,-11.463443985932173,-0.40901382639458217,199.76734474572416
